Questions,Acceptance Rate,Difficulty,Links,Liked,Leetcode Tags,Premium
2213. Longest Substring of One Repeating Character,31.50%,Hard,https://leetcode.com/problems/longest-substring-of-one-repeating-character/,241,"Array,String,Segment Tree,Ordered Set",
2214. Minimum Health to Beat Game,57.90%,Medium,https://leetcode.com/problems/minimum-health-to-beat-game/,,,True
2215. Find the Difference of Two Arrays,78.10%,Easy,https://leetcode.com/problems/find-the-difference-of-two-arrays/,1.6K,"Array,Hash Table",
2216. Minimum Deletions to Make Array Beautiful,46.90%,Medium,https://leetcode.com/problems/minimum-deletions-to-make-array-beautiful/,637,"Array,Stack,Greedy",
2217. Find Palindrome With Fixed Length,33.80%,Medium,https://leetcode.com/problems/find-palindrome-with-fixed-length/,514,"Array,Math",
2218. Maximum Value of K Coins From Piles,61.60%,Hard,https://leetcode.com/problems/maximum-value-of-k-coins-from-piles/,2K,"Array,Dynamic Programming,Prefix Sum",
2219. Maximum Sum Score of Array,61.20%,Medium,https://leetcode.com/problems/maximum-sum-score-of-array/,,,True
2220. Minimum Bit Flips to Convert Number,81.50%,Easy,https://leetcode.com/problems/minimum-bit-flips-to-convert-number/,530,Bit Manipulation,
2221. Find Triangular Sum of an Array,78.30%,Medium,https://leetcode.com/problems/find-triangular-sum-of-an-array/,841,"Array,Math,Simulation,Combinatorics",
2222. Number of Ways to Select Buildings,50.90%,Medium,https://leetcode.com/problems/number-of-ways-to-select-buildings/,,,True
2223. Sum of Scores of Built Strings,37.10%,Hard,https://leetcode.com/problems/sum-of-scores-of-built-strings/,194,"String,Binary Search,Rolling Hash,Suffix Array,String Matching,Hash Function",
2224. Minimum Number of Operations to Convert Time,64.80%,Easy,https://leetcode.com/problems/minimum-number-of-operations-to-convert-time/,371,"String,Greedy",
2225. Find Players With Zero or One Losses,72.30%,Medium,https://leetcode.com/problems/find-players-with-zero-or-one-losses/,1.4K,"Array,Hash Table,Sorting,Counting",
2226. Maximum Candies Allocated to K Children,36.80%,Medium,https://leetcode.com/problems/maximum-candies-allocated-to-k-children/,825,"Array,Binary Search",
2227. Encrypt and Decrypt Strings,39.30%,Hard,https://leetcode.com/problems/encrypt-and-decrypt-strings/,293,"Array,Hash Table,String,Design,Trie",
2228. Users With Two Purchases Within Seven Days,43.50%,Medium,https://leetcode.com/problems/users-with-two-purchases-within-seven-days/,,,True
2229. Check if an Array Is Consecutive,61.20%,Easy,https://leetcode.com/problems/check-if-an-array-is-consecutive/,,,True
2230. The Users That Are Eligible for Discount,49.30%,Easy,https://leetcode.com/problems/the-users-that-are-eligible-for-discount/,,,True
2231. Largest Number After Digit Swaps by Parity,60.70%,Easy,https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity/,474,"Sorting,Heap (Priority Queue)",
2232. Minimize Result by Adding Parentheses to Expression,65.60%,Medium,https://leetcode.com/problems/minimize-result-by-adding-parentheses-to-expression/,167,"String,Enumeration",
2233. Maximum Product After K Increments,41.00%,Medium,https://leetcode.com/problems/maximum-product-after-k-increments/,557,"Array,Greedy,Heap (Priority Queue)",
2234. Maximum Total Beauty of the Gardens,28.50%,Hard,https://leetcode.com/problems/maximum-total-beauty-of-the-gardens/,374,"Array,Two Pointers,Binary Search,Greedy,Sorting",
2235. Add Two Integers,88.20%,Easy,https://leetcode.com/problems/add-two-integers/,,,True
2236. Root Equals Sum of Children,83.80%,Easy,https://leetcode.com/problems/root-equals-sum-of-children/,,,True
2237. Count Positions on Street With Required Brightness,63.80%,Medium,https://leetcode.com/problems/count-positions-on-street-with-required-brightness/,,,True
2238. Number of Times a Driver Was a Passenger,71.50%,Medium,https://leetcode.com/problems/number-of-times-a-driver-was-a-passenger/,,,True
2239. Find Closest Number to Zero,45.10%,Easy,https://leetcode.com/problems/find-closest-number-to-zero/,444,Array,
2240. Number of Ways to Buy Pens and Pencils,56.80%,Medium,https://leetcode.com/problems/number-of-ways-to-buy-pens-and-pencils/,360,"Math,Enumeration",
2241. Design an ATM Machine,38.90%,Medium,https://leetcode.com/problems/design-an-atm-machine/,182,"Array,Greedy,Design",
2242. Maximum Score of a Node Sequence,37.80%,Hard,https://leetcode.com/problems/maximum-score-of-a-node-sequence/,454,"Array,Graph,Sorting,Enumeration",
2243. Calculate Digit Sum of a String,66.20%,Easy,https://leetcode.com/problems/calculate-digit-sum-of-a-string/,456,"String,Simulation",
2244. Minimum Rounds to Complete All Tasks,62.90%,Medium,https://leetcode.com/problems/minimum-rounds-to-complete-all-tasks/,2.5K,"Array,Hash Table,Greedy,Counting",
2245. Maximum Trailing Zeros in a Cornered Path,35.20%,Medium,https://leetcode.com/problems/maximum-trailing-zeros-in-a-cornered-path/,157,"Array,Matrix,Prefix Sum",
2246. Longest Path With Different Adjacent Characters,55.50%,Hard,https://leetcode.com/problems/longest-path-with-different-adjacent-characters/,2.2K,"Array,String,Tree,Depth-First Search,Graph,Topological Sort",
2247. Maximum Cost of Trip With K Highways,50.60%,Hard,https://leetcode.com/problems/maximum-cost-of-trip-with-k-highways/,,,True
2248. Intersection of Multiple Arrays,68.50%,Easy,https://leetcode.com/problems/intersection-of-multiple-arrays/,541,"Array,Hash Table,Counting",
2249. Count Lattice Points Inside a Circle,50.60%,Medium,https://leetcode.com/problems/count-lattice-points-inside-a-circle/,188,"Array,Hash Table,Math,Geometry,Enumeration",
2250. Count Number of Rectangles Containing Each Point,34.10%,Medium,https://leetcode.com/problems/count-number-of-rectangles-containing-each-point/,422,"Array,Binary Search,Binary Indexed Tree,Sorting",
2251. Number of Flowers in Full Bloom,51.10%,Hard,https://leetcode.com/problems/number-of-flowers-in-full-bloom/,525,"Array,Hash Table,Binary Search,Sorting,Prefix Sum,Ordered Set",
2252. Dynamic Pivoting of a Table,56.50%,Hard,https://leetcode.com/problems/dynamic-pivoting-of-a-table/,,,True
2253. Dynamic Unpivoting of a Table,65.70%,Hard,https://leetcode.com/problems/dynamic-unpivoting-of-a-table/,,,True
2254. Design Video Sharing Platform,64.60%,Hard,https://leetcode.com/problems/design-video-sharing-platform/,,,True
2255. Count Prefixes of a Given String,72.50%,Easy,https://leetcode.com/problems/count-prefixes-of-a-given-string/,426,"Array,String",
2256. Minimum Average Difference,43.10%,Medium,https://leetcode.com/problems/minimum-average-difference/,1.4K,"Array,Prefix Sum",
2257. Count Unguarded Cells in the Grid,52.00%,Medium,https://leetcode.com/problems/count-unguarded-cells-in-the-grid/,353,"Array,Matrix,Simulation",
2258. Escape the Spreading Fire,34.90%,Hard,https://leetcode.com/problems/escape-the-spreading-fire/,540,"Array,Binary Search,Breadth-First Search,Matrix",
2259. Remove Digit From Number to Maximize Result,45.80%,Easy,https://leetcode.com/problems/remove-digit-from-number-to-maximize-result/,626,"String,Greedy,Enumeration",
2260. Minimum Consecutive Cards to Pick Up,51.00%,Medium,https://leetcode.com/problems/minimum-consecutive-cards-to-pick-up/,698,"Array,Hash Table,Sliding Window",
2261. K Divisible Elements Subarrays,48.30%,Medium,https://leetcode.com/problems/k-divisible-elements-subarrays/,491,"Array,Hash Table,Trie,Rolling Hash,Hash Function,Enumeration",
2262. Total Appeal of A String,56.20%,Hard,https://leetcode.com/problems/total-appeal-of-a-string/,860,"Hash Table,String,Dynamic Programming",
2263. Make Array Non-decreasing or Non-increasing,65.60%,Hard,https://leetcode.com/problems/make-array-non-decreasing-or-non-increasing/,,,True
2264. Largest 3-Same-Digit Number in String,59.50%,Easy,https://leetcode.com/problems/largest-3-same-digit-number-in-string/,309,String,
2265. Count Nodes Equal to Average of Subtree,85.00%,Medium,https://leetcode.com/problems/count-nodes-equal-to-average-of-subtree/,1.1K,"Tree,Depth-First Search,Binary Tree",
2266. Count Number of Texts,46.90%,Medium,https://leetcode.com/problems/count-number-of-texts/,708,"Hash Table,Math,String,Dynamic Programming",
2267. Check if There Is a Valid Parentheses String Path,37.90%,Hard,https://leetcode.com/problems/check-if-there-is-a-valid-parentheses-string-path/,443,"Array,Dynamic Programming,Matrix",
2268. Minimum Number of Keypresses,72.60%,Medium,https://leetcode.com/problems/minimum-number-of-keypresses/,,,True
2269. Find the K-Beauty of a Number,57.80%,Easy,https://leetcode.com/problems/find-the-k-beauty-of-a-number/,,,True
2270. Number of Ways to Split Array,45.70%,Medium,https://leetcode.com/problems/number-of-ways-to-split-array/,433,"Array,Prefix Sum",
2271. Maximum White Tiles Covered by a Carpet,33.00%,Medium,https://leetcode.com/problems/maximum-white-tiles-covered-by-a-carpet/,688,"Array,Binary Search,Greedy,Sorting,Prefix Sum",
2272. Substring With Largest Variance,36.80%,Hard,https://leetcode.com/problems/substring-with-largest-variance/,719,"Array,Dynamic Programming",
2273. Find Resultant Array After Removing Anagrams,58.20%,Easy,https://leetcode.com/problems/find-resultant-array-after-removing-anagrams/,498,"Array,Hash Table,String,Sorting",
2274. Maximum Consecutive Floors Without Special Floors,52.10%,Medium,https://leetcode.com/problems/maximum-consecutive-floors-without-special-floors/,329,"Array,Sorting",
2275. Largest Combination With Bitwise AND Greater Than Zero,72.30%,Medium,https://leetcode.com/problems/largest-combination-with-bitwise-and-greater-than-zero/,466,"Array,Hash Table,Bit Manipulation,Counting",
2276. Count Integers in Intervals,34.60%,Hard,https://leetcode.com/problems/count-integers-in-intervals/,475,"Design,Segment Tree,Ordered Set",
2277. Closest Node to Path in Tree,64.00%,Hard,https://leetcode.com/problems/closest-node-to-path-in-tree/,,,True
2278. Percentage of Letter in String,74.00%,Easy,https://leetcode.com/problems/percentage-of-letter-in-string/,390,String,
2279. Maximum Bags With Full Capacity of Rocks,67.70%,Medium,https://leetcode.com/problems/maximum-bags-with-full-capacity-of-rocks/,1.6K,"Array,Greedy,Sorting",
2280. Minimum Lines to Represent a Line Chart,24.60%,Medium,https://leetcode.com/problems/minimum-lines-to-represent-a-line-chart/,306,"Array,Math,Geometry,Sorting,Number Theory",
2281. Sum of Total Strength of Wizards,27.20%,Hard,https://leetcode.com/problems/sum-of-total-strength-of-wizards/,965,"Array,Stack,Monotonic Stack,Prefix Sum",
2282. Number of People That Can Be Seen in a Grid,49.20%,Medium,https://leetcode.com/problems/number-of-people-that-can-be-seen-in-a-grid/,,,True
2283. Check if Number Has Equal Digit Count and Digit Value,72.70%,Easy,https://leetcode.com/problems/check-if-number-has-equal-digit-count-and-digit-value/,451,"Hash Table,String,Counting",
2284. Sender With Largest Word Count,56.10%,Medium,https://leetcode.com/problems/sender-with-largest-word-count/,335,"Array,Hash Table,String,Counting",
2285. Maximum Total Importance of Roads,60.60%,Medium,https://leetcode.com/problems/maximum-total-importance-of-roads/,,,True
2286. Booking Concert Tickets in Groups,15.60%,Hard,https://leetcode.com/problems/booking-concert-tickets-in-groups/,271,"Binary Search,Design,Binary Indexed Tree,Segment Tree",
2287. Rearrange Characters to Make Target String,58.00%,Easy,https://leetcode.com/problems/rearrange-characters-to-make-target-string/,375,"Hash Table,String,Counting",
2288. Apply Discount to Prices,28.20%,Medium,https://leetcode.com/problems/apply-discount-to-prices/,158,String,
2289. Steps to Make Array Non-decreasing,20.90%,Medium,https://leetcode.com/problems/steps-to-make-array-non-decreasing/,1.1K,"Array,Linked List,Stack,Monotonic Stack",
2290. Minimum Obstacle Removal to Reach Corner,49.90%,Hard,https://leetcode.com/problems/minimum-obstacle-removal-to-reach-corner/,737,"Array,Breadth-First Search,Graph,Heap (Priority Queue),Matrix,Shortest Path",
2291. Maximum Profit From Trading Stocks,45.20%,Medium,https://leetcode.com/problems/maximum-profit-from-trading-stocks/,,,True
2292. Products With Three or More Orders in Two Consecutive Years,38.30%,Medium,https://leetcode.com/problems/products-with-three-or-more-orders-in-two-consecutive-years/,,,True
2293. Min Max Game,63.50%,Easy,https://leetcode.com/problems/min-max-game/,,,True
2294. Partition Array Such That Maximum Difference Is K,72.70%,Medium,https://leetcode.com/problems/partition-array-such-that-maximum-difference-is-k/,530,"Array,Hash Table,Simulation",
2295. Replace Elements in an Array,57.50%,Medium,https://leetcode.com/problems/replace-elements-in-an-array/,,,True
2296. Design a Text Editor,41.10%,Hard,https://leetcode.com/problems/design-a-text-editor/,,,True
2297. Jump Game VIII,55.30%,Medium,https://leetcode.com/problems/jump-game-viii/,,,True
2298. Tasks Count in the Weekend,83.30%,Medium,https://leetcode.com/problems/tasks-count-in-the-weekend/,273,String,
2299. Strong Password Checker II,55.80%,Easy,https://leetcode.com/problems/strong-password-checker-ii/,2.1K,"Array,Two Pointers,Binary Search,Sorting",
2300. Successful Pairs of Spells and Potions,41.30%,Medium,https://leetcode.com/problems/successful-pairs-of-spells-and-potions/,339,"Array,Hash Table,String,String Matching",
2301. Match Substring After Replacement,39.50%,Hard,https://leetcode.com/problems/match-substring-after-replacement/,756,"Array,Binary Search,Sliding Window,Prefix Sum",
2302. Count Subarrays With Score Less Than K,52.40%,Hard,https://leetcode.com/problems/count-subarrays-with-score-less-than-k/,,,True
2303. Calculate Amount Paid in Taxes,64.10%,Easy,https://leetcode.com/problems/calculate-amount-paid-in-taxes/,675,"Array,Dynamic Programming,Matrix",
2304. Minimum Path Cost in a Grid,65.70%,Medium,https://leetcode.com/problems/minimum-path-cost-in-a-grid/,862,"Array,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask",
2305. Fair Distribution of Cookies,61.70%,Medium,https://leetcode.com/problems/fair-distribution-of-cookies/,,,True
2306. Naming a Company,47.10%,Hard,https://leetcode.com/problems/naming-a-company/,,,True
2307. Check for Contradictions in Equations,42.90%,Hard,https://leetcode.com/problems/check-for-contradictions-in-equations/,,,True
2308. Arrange Table by Gender,70.30%,Medium,https://leetcode.com/problems/arrange-table-by-gender/,,,True
2309. Greatest English Letter in Upper and Lower Case,68.80%,Easy,https://leetcode.com/problems/greatest-english-letter-in-upper-and-lower-case/,339,"Math,Dynamic Programming,Greedy,Enumeration",
2310. Sum of Numbers With Units Digit K,25.80%,Medium,https://leetcode.com/problems/sum-of-numbers-with-units-digit-k/,596,"String,Dynamic Programming,Greedy,Memoization",
2311. Longest Binary Subsequence Less Than or Equal to K,37.00%,Medium,https://leetcode.com/problems/longest-binary-subsequence-less-than-or-equal-to-k/,482,"Array,Dynamic Programming,Memoization",
2312. Selling Pieces of Wood,48.90%,Hard,https://leetcode.com/problems/selling-pieces-of-wood/,,,True
2313. Minimum Flips in Binary Tree to Get Result,61.80%,Hard,https://leetcode.com/problems/minimum-flips-in-binary-tree-to-get-result/,,,True
2314. The First Day of the Maximum Recorded Degree in Each City,72.50%,Medium,https://leetcode.com/problems/the-first-day-of-the-maximum-recorded-degree-in-each-city/,,,True
2315. Count Asterisks,81.90%,Easy,https://leetcode.com/problems/count-asterisks/,1.8K,"Depth-First Search,Breadth-First Search,Union Find,Graph",
2316. Count Unreachable Pairs of Nodes in an Undirected Graph,50.60%,Medium,https://leetcode.com/problems/count-unreachable-pairs-of-nodes-in-an-undirected-graph/,486,"Array,Math,Bit Manipulation",
